,country_name,iso3_code,continent_name,ohfa_factor,country_area,pop_density,emission_factor,climate_zone,m2_area,heating_demand_factor,estimated_floor_area,estimated_emissions
108,Iran (Islamic Republic of),IRN,Asia,0.56,1621741394393.57,5.1e-05,199.4,3.0,1399155024403.43,5.2005e-05,6414665510.688878,37250516.3344972
108,Iran (Islamic Republic of),IRN,Asia,0.56,1621741394393.57,5.1e-05,199.4,1.0,71035589206.174,2.0006e-05,325674808.1268516,727541.2324041834
108,Iran (Islamic Republic of),IRN,Asia,0.56,1621741394393.57,5.1e-05,199.4,5.0,151550775569.493,0.000159993,694810450.7420688,12413107.17026678
109,Iraq,IRQ,Asia,0.56,445359365843.328,8.968e-05,199.4,3.0,440433149865.9,5.2005e-05,3550696906.0962176,20619203.429857675
109,Iraq,IRQ,Asia,0.56,445359365843.328,8.968e-05,199.4,5.0,4926215979.339,0.000159993,39714312.698593244,709514.3994950225
110,Iceland,ISL,Northern Europe,0.27,102224497062.889,3.56e-06,199.4,7.0,75919924752.033,0.000158663,24296502.983381953,207543.1239734638
110,Iceland,ISL,Northern Europe,0.27,102224497062.889,3.56e-06,199.4,10.0,26235885416.852,0.00024528,8396218.38910137,110875.29334952477
111,Israel,ISR,Asia,0.56,22158855909.714,0.000423,199.4,3.0,22158855909.714,5.2005e-05,842608243.4061016,4893098.803402804
112,Italy,ITA,Europe,0.54,300755055505.221,0.00019997,199.4,3.0,188081141019.382,5.2005e-05,3381022805.9277053,18932680.88091398
112,Italy,ITA,Europe,0.54,300755055505.221,0.00019997,199.4,4.0,76489259013.908,0.00013328,1375001915.305714,19732731.246662013
112,Italy,ITA,Europe,0.54,300755055505.221,0.00019997,199.4,2.0,292034956.06,2.2628e-05,5249738.709662576,12790.94914004523
112,Italy,ITA,Europe,0.54,300755055505.221,0.00019997,199.4,5.0,35838695476.066,0.000159993,644250912.5717733,11098772.20940369
113,Jamaica,JAM,North America,0.63,11000033945.644,0.00024808,199.4,1.0,10999664523.662,2.0006e-05,245306578.99417034,616502.9567465119
114,Jersey,JEY,Europe,0.54,125156211.921,0.00089833,199.4,3.0,125156211.921,5.2005e-05,10107094.261291787,56596.59850470883
115,Jordan,JOR,Asia,0.56,89118913914.624,0.000123,199.4,3.0,88950733124.499,5.2005e-05,983541401.7268183,5711509.8191214325
115,Jordan,JOR,Asia,0.56,89118913914.624,0.000123,199.4,2.0,168099466.227,2.2628e-05,1858700.6406234694,4696.440230914856
116,Japan,JPN,Asia,0.56,372468104785.874,0.00033338,199.4,2.0,45235257403.152,2.2628e-05,1355671952.3069806,3425421.0482230987
116,Japan,JPN,Asia,0.56,372468104785.874,0.00033338,199.4,5.0,326508884350.402,0.000159993,9785264019.787373,174818226.80883542
117,Kazakhstan,KAZ,Asia,0.56,2730537152384.12,6.69e-06,199.4,6.0,1878074792776.02,0.000240838,1129475992.4967666,30374923.80873367
